asin,name,pdate,rating,review,Label
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,06-09-19,1,I bought this hair oil after viewing so many good comments. But this product is not good enough.First of all it's Expensive...Second thing the amount of the product is low (half bottle) YES!The bottle is not completely filled with oil. If you cheating on your customers #Mamaearth trust me on this you can't fool people more than once. Now I know that your Brand is not good enough. I am not going to buy any product from your Brand again.Thumbs down for mamaearth onion oil !!,0
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,14-08-19,5,"Used This Mama Earth Newly Launched Onion Oil twice, and i must say im already impressed by the results !It prevents hair loss, helps control premature greying, dryness, dandruff, scalp eruptions and many other hair problems after its regular use !To avoid dry and frizzy hair, make sure that you use this oil to your hairs twice a week.Oiling provides your scalp with essential nutrients, and also strengthens the hair roots. Mamaearth onion oil works best for your hair during all the seasons.",1
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,19-10-19,1,So bad product...My hair falling increase too much..I order shampoo mask and oil.. nothing stop hairfallAfter 3 to 4 wash my hair falling so badly...,1
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,16-09-19,1,Product just smells similar to navarathna hair oil .. but not strong as that and oil is not sticky after applying three drops of oil !! More review after usage of 2 months1) worst product2) hair fall increased a lot3) brought this product after watching YouTube influencer Mumbaiker Nikhil4) totally misguided never take suggestions from influencers.5) using since 2 months no result and I'm losing my more hair6) mama earth just wasted my money as well damaged my hair7)better they provide solution or return my money,0
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,18-08-19,5,I have been trying different onion oil for my hair as my hair is not very healthy. This product has literally changed the texture of my scalp and I am really happy with the results. It comes in a nice colorful packaging too. Definitely recommend this one to everyone looking out for onion oil.  For more reviews you can follow me on Instagram @insi_lovemyself.,1
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,30-09-19,4,"I have been using this product for some time now. My Roommate had this and I had been planning to order for a while now. I just used to forget all the time, finally I have it now.Well from the last 2 months of use, here's my experience with the product:I use it every night and get a shower in the morning.Pros:1. The oil is non greasy, and pretty light.2. Has very good smell.no pungent or awkward fragrance3. My hair doesn't lump in together as with other hair oil products.4.Gives a pretty good shine and dark color5. It's very helpful for dandruff, hairfall/ hairloss. I don't have a very dense hair presence so my scalp was visible all the time, Now it looks pretty dense.Cons.1 .can't find anything at allI do recommend it for people having hairfall issues.",0
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,28-09-19,1,I purchased both oil and shampoo after watching fake YouTube  and customer review.After first day of use of oil and shampoo my hairfall increased.,1
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,20-08-19,5,It's a very good product from mamaearth. The oil gives your hair full strength and perfect shine. Onion are rich in sulphur thats add up the strength of hair roots and holds the hair preventing hairloss. Suitable for all type hair. For better result use at night. Go for it.,0
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,15-11-19,3,"Why are you showing onion oil benefits in your ad , when you ate not giving onion oil in your product. I bought this for redensyl content ...but not sure about the percentage of it bein added. Secondly it only has onion extracts, which am sure not is effective.Switchin back to my conventional method of makin onion juice and applyin on scalp",1
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,30-08-19,5,I used it only one time so I can't say about hairfall control but I couldn't stop myself to mention about its amazing effect. It made my hair extremely soft and shiny which was visible properly. Smell was strong but not bothering. I think this is the best hair fall which I have used till date. My search ends over here I suppose. Just waiting to see its impact on arresting hairfall.,0
